2021/06/11,キリンチャレンジカップ2021,1-0,セルビア,Win,欧州,
2021/06/15,FIFAワールドカップカタール2022 アジア2次予選 兼 AFCアジアカップ中国2023 予選,5-1,キルギス,Win,アジア,W杯予選
2021/09/02,アジア最終予選（Road to Qatar）,0-1,オマーン,Lose,アジア,W杯予選
2021/09/07,アジア最終予選（Road to Qatar）,1-0,中国,Win,アジア,W杯予選
2021/10/07,アジア最終予選（Road to Qatar）,0-1,サウジアラビア,Lose,アジア,W杯予選
2021/10/12,アジア最終予選（Road to Qatar）,2-1,オーストラリア,Win,アジア,W杯予選
2021/11/11,アジア最終予選（Road to Qatar）,1-0,ベトナム,Win,アジア,W杯予選
2021/11/16,アジア最終予選（Road to Qatar）,1-0,オマーン,Win,アジア,W杯予選
2022/01/27,アジア最終予選（Road to Qatar）,2-0,中国,Win,アジア,W杯予選
2022/02/01,アジア最終予選（Road to Qatar）,2-0,サウジアラビア,Win,アジア,W杯予選
2022/03/24,アジア最終予選（Road to Qatar）,2-0,オーストラリア,Win,アジア,W杯予選
2022/03/29,アジア最終予選（Road to Qatar）,1-1,ベトナム,Draw,アジア,W杯予選
2022/06/02,キリンチャレンジカップ2022,4-1,パラグアイ,Win,南米,
2022/06/06,キリンチャレンジカップ2022,0-1,ブラジル,Lose,南米,
2022/06/10,キリンカップサッカー 2022,4-1,ガーナ,Win,アフリカ,
2022/06/14,キリンカップサッカー 2022,0-3,チュニジア,Lose,アフリカ,
2022/07/19,EAFF E-1 サッカー選手権 2022 決勝大会,6-0,香港,Win,アジア,
2022/07/24,EAFF E-1 サッカー選手権 2022 決勝大会,0-0,中国,Draw,アジア,
2022/07/27,EAFF E-1 サッカー選手権 2022 決勝大会,3-0,韓国,Win,アジア,
2022/09/23,キリンチャレンジカップ2022,2-0,アメリカ,Win,北中米カリブ海,
2022/09/27,キリンチャレンジカップ2022,0-0,エクアドル,Draw,南米,
2022/11/17,国際親善試合,-,カナダ,,北中米カリブ海,
2022/11/23,FIFAワールドカップ カタール2022,-,ドイツ,,欧州,W杯本戦
2022/11/27,FIFAワールドカップ カタール2022,-,コスタリカ,,南米,W杯本戦
2022/12/01,FIFAワールドカップ カタール2022,-,スペイン,,欧州,W杯本戦
