wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
H,木村 優人,1,14,3,0,0,0,0,0,0,0,0,寺地,2025/06/05,巨人,0,2025RS
W,坂本 光士郎,1,19,5,2,0,0,0,0,0,0,0,寺地,2025/06/05,巨人,0,2025RS
,小島 和哉,5,82,20,4,0,1,1,0,0,2,2,寺地,2025/06/06,中日,1,2025RS
L,坂本 光士郎,1,22,5,2,0,0,1,0,0,1,1,寺地,2025/06/06,中日,0,2025RS
,高野 脩汰,2,35,8,0,0,2,2,0,0,0,0,寺地,2025/06/06,中日,0,2025RS
,田中 晴也,7,97,25,4,1,9,0,0,0,1,1,寺地,2025/06/07,中日,1,2025RS
H,中森 俊介,1,22,5,1,0,2,0,1,0,0,0,寺地,2025/06/07,中日,0,2025RS
L,鈴木 昭汰,0.2,31,8,3,0,1,2,1,0,3,3,寺地,2025/06/07,中日,0,2025RS
,ボス,6,91,24,4,0,2,1,1,0,0,0,寺地,2025/06/08,中日,1,2025RS
L,坂本 光士郎,0.1,12,4,1,0,1,1,1,0,1,1,寺地,2025/06/08,中日,0,2025RS
,小野 郁,0.2,14,2,0,0,1,0,0,0,0,0,寺地,2025/06/08,中日,0,2025RS
,木村 優人,1,21,7,3,1,1,1,0,0,2,2,寺地,2025/06/08,中日,0,2025RS
W,サモンズ,7.0,112,26,1,0,4,2,1,0,1,1,寺地,2025/06/10,広島,1,2025RS
,小野 郁,1,11,3,0,0,0,0,0,0,0,0,寺地,2025/06/10,広島,0,2025RS
,八木 彬,1,12,3,0,0,0,0,0,0,0,0,寺地,2025/06/10,広島,0,2025RS
,西野 勇士,5.2,100,25,6,0,3,1,1,0,1,1,佐藤,2025/06/11,広島,1,2025RS
H,八木 彬,0.1,4,1,0,0,0,0,0,0,0,0,佐藤,2025/06/11,広島,0,2025RS
,高野 脩汰,1,25,6,2,0,1,1,0,0,1,1,佐藤,2025/06/11,広島,0,2025RS
H,鈴木 昭汰,1,21,4,1,0,1,0,0,0,0,0,佐藤,2025/06/11,広島,0,2025RS
H,中森 俊介,1,14,3,0,0,2,0,0,0,0,0,佐藤,2025/06/11,広島,0,2025RS
H,坂本 光士郎,0.1,14,3,1,0,0,1,0,0,0,0,佐藤,2025/06/11,広島,0,2025RS
H,小野 郁,0.2,7,2,0,0,0,0,0,0,0,0,佐藤,2025/06/11,広島,0,2025RS
L,唐川 侑己,2,53,14,7,0,1,1,0,0,4,4,佐藤,2025/06/11,広島,0,2025RS
,種市 篤暉,6,108,28,6,0,4,5,0,0,4,4,寺地,2025/06/12,広島,1,2025RS
W,高野 脩汰,2,27,6,0,0,3,0,0,0,0,0,寺地,2025/06/12,広島,0,2025RS
S,中森 俊介,1,9,3,0,0,1,0,0,0,0,0,寺地,2025/06/12,広島,0,2025RS
,石川 柊太,4,69,19,8,0,3,0,0,0,4,4,佐藤,2025/06/13,ヤクルト,1,2025RS
H,八木 彬,1,20,3,0,0,2,0,0,0,0,0,田村,2025/06/13,ヤクルト,0,2025RS
H,横山 陸人,3,44,13,1,0,4,1,1,0,0,0,田村,2025/06/13,ヤクルト,0,2025RS
W,鈴木 昭汰,1,12,3,0,0,0,0,0,0,0,0,田村,2025/06/13,ヤクルト,0,2025RS
L,小島 和哉,5,83,21,5,1,1,1,0,0,4,4,寺地,2025/06/14,ヤクルト,1,2025RS
,菊地 吏玖,1,14,5,2,1,0,0,0,0,1,1,寺地,2025/06/14,ヤクルト,0,2025RS
,ゲレーロ,1,12,4,0,0,0,1,0,0,0,0,寺地,2025/06/14,ヤクルト,0,2025RS
,益田 直也,1,8,3,0,0,1,0,0,0,0,0,寺地,2025/06/14,ヤクルト,0,2025RS
,中村 稔弥,1,22,4,0,0,0,1,0,0,0,0,寺地,2025/06/14,ヤクルト,0,2025RS
,ボス,6.2,96,29,6,1,7,2,1,0,4,4,寺地,2025/06/15,ヤクルト,1,2025RS
,小野 郁,0.1,7,2,1,0,0,0,0,0,0,0,寺地,2025/06/15,ヤクルト,0,2025RS
H,鈴木 昭汰,1,10,4,1,0,1,0,0,0,0,0,寺地,2025/06/15,ヤクルト,0,2025RS
W,中森 俊介,1,18,5,1,0,2,1,0,0,0,0,寺地,2025/06/15,ヤクルト,0,2025RS
,木村 優人,4,75,16,3,0,4,1,1,0,1,1,寺地,2025/06/17,阪神,1,2025RS
W,高野 脩汰,2,29,7,1,0,3,0,0,0,0,0,寺地,2025/06/17,阪神,0,2025RS
H,横山 陸人,1,19,3,0,0,1,0,0,0,0,0,寺地,2025/06/17,阪神,0,2025RS
H,鈴木 昭汰,1,16,3,1,0,1,0,0,0,0,0,寺地,2025/06/17,阪神,0,2025RS
S,中森 俊介,1,11,3,0,0,2,0,0,0,0,0,寺地,2025/06/17,阪神,0,2025RS
L,田中 晴也,4.1,90,23,8,0,4,3,0,0,3,3,寺地,2025/06/18,阪神,1,2025RS
,八木 彬,0.2,10,2,0,0,1,0,0,0,0,0,寺地,2025/06/18,阪神,0,2025RS
,菊地 吏玖,1,26,5,1,0,1,1,0,0,0,0,寺地,2025/06/18,阪神,0,2025RS
,益田 直也,1,13,3,0,0,0,0,0,0,0,0,寺地,2025/06/18,阪神,0,2025RS
,ゲレーロ,1,24,8,5,1,0,0,0,0,5,5,寺地,2025/06/18,阪神,0,2025RS
L,種市 篤暉,6.2,122,32,6,0,8,4,1,0,2,2,寺地,2025/06/19,阪神,1,2025RS
,小野 郁,0.1,5,2,1,0,1,0,0,0,0,0,寺地,2025/06/19,阪神,0,2025RS
,菊地 吏玖,1,22,5,0,0,1,2,0,0,0,0,寺地,2025/06/19,阪神,0,2025RS
W,石川 柊太,6,78,20,1,0,1,1,0,0,1,1,寺地,2025/06/20,DeNA,1,2025RS
H,横山 陸人,1,17,3,0,0,2,0,0,0,0,0,寺地,2025/06/20,DeNA,0,2025RS
H,鈴木 昭汰,1,15,3,0,0,1,0,0,0,0,0,寺地,2025/06/20,DeNA,0,2025RS
,八木 彬,1,12,3,0,0,1,0,0,0,0,0,寺地,2025/06/20,DeNA,0,2025RS
L,廣池 康志郎,2,46,10,4,3,3,0,0,0,3,3,寺地,2025/06/21,DeNA,1,2025RS
,高野 脩汰,4,71,16,1,1,4,3,0,0,1,1,寺地,2025/06/21,DeNA,0,2025RS
,益田 直也,1,19,5,1,0,1,1,0,0,1,1,寺地,2025/06/21,DeNA,0,2025RS
,東妻 勇輔,1,13,3,0,0,1,1,0,0,0,0,寺地,2025/06/21,DeNA,0,2025RS
,ボス,4,76,21,8,0,2,0,1,0,6,5,寺地,2025/06/22,DeNA,1,2025RS
,八木 彬,1,21,7,4,1,1,0,0,0,3,3,寺地,2025/06/22,DeNA,0,2025RS
