wls,pitcher,innings,opportunity,hits,strikeout,walk,run,earned_run,catcher,day_of_game,vs_team,starting,series
,田　口,1,5,1,1,1,0,0,宇佐見,2018/06/16,ロッテ,0,2018RS
,内　海,5.2,22,5,4,1,0,0,小林,2018/06/17,ロッテ,1,2018RS
,澤　村,1.1,4,0,1,0,0,0,小林,2018/06/17,ロッテ,0,2018RS
,マシソン,1,4,1,2,1,0,0,小林,2018/06/17,ロッテ,0,2018RS
L,カミネロ,0.1,5,3,0,1,2,2,小林,2018/06/17,ロッテ,0,2018RS
W,菅　野,6,27,7,5,2,2,2,小林,2018/06/22,ヤクルト,1,2018RS
,澤　村,1,4,1,1,0,0,0,小林,2018/06/22,ヤクルト,0,2018RS
,マシソン,1,6,3,2,0,3,3,小林,2018/06/22,ヤクルト,0,2018RS
S,カミネロ,1,3,1,0,0,0,0,小林,2018/06/22,ヤクルト,0,2018RS
W,山口俊,9,34,6,8,2,1,1,小林,2018/06/23,ヤクルト,1,2018RS
L,今　村,6.1,26,7,4,1,3,3,小林,2018/06/24,ヤクルト,1,2018RS
,澤　村,0.2,4,1,1,1,0,0,小林,2018/06/24,ヤクルト,0,2018RS
,谷　岡,1,5,1,0,1,0,0,宇佐見,2018/06/24,ヤクルト,0,2018RS
,アダメス,1,4,0,0,1,0,0,宇佐見,2018/06/24,ヤクルト,0,2018RS
L,鍬　原,2,14,4,5,4,7,7,小林,2018/06/26,広島,1,2018RS
,森　福,1,7,4,0,0,3,3,小林,2018/06/26,広島,0,2018RS
,アダメス,2,10,2,2,3,1,1,宇佐見,2018/06/26,広島,0,2018RS
,谷　岡,1,5,2,1,0,2,2,宇佐見,2018/06/26,広島,0,2018RS
,田　原,1,4,1,1,0,1,1,宇佐見,2018/06/26,広島,0,2018RS
,上　原,1,3,0,0,0,0,0,宇佐見,2018/06/26,広島,0,2018RS
L,田　口,2,10,4,1,1,4,4,小林,2018/06/27,広島,1,2018RS
,田　口,2,9,4,2,0,1,1,大城,2018/06/27,広島,0,2018RS
?,谷　岡,1,8,1,1,4,2,2,大城,2018/06/27,広島,0,2018RS
?,田　原,2,9,3,1,1,1,1,大城,2018/06/27,広島,0,2018RS
?,澤　村,1,3,0,3,0,0,0,大城,2018/06/27,広島,0,2018RS
L,菅　野,5,25,7,5,4,4,4,小林,2018/06/28,広島,1,2018RS
,上　原,1,3,0,2,0,0,0,小林,2018/06/28,広島,0,2018RS
,アダメス,2,7,2,1,0,0,0,大城,2018/06/28,広島,0,2018RS
,山口俊,7,26,3,9,3,1,1,大城,2018/06/29,中日,1,2018RS
,マシソン,1,4,0,2,1,0,0,大城,2018/06/29,中日,0,2018RS
,カミネロ,0.1,3,2,0,0,2,2,大城,2018/06/29,中日,0,2018RS
L,澤　村,0,3,3,0,0,1,1,大城,2018/06/29,中日,0,2018RS
W,内　海,6,21,2,3,1,2,2,大城,2018/06/30,中日,1,2018RS
,上　原,1,3,0,1,0,0,0,大城,2018/06/30,中日,0,2018RS
,澤　村,1,3,0,1,0,0,0,大城,2018/06/30,中日,0,2018RS
S,マシソン,1,3,0,1,0,0,0,大城,2018/06/30,中日,0,2018RS
W,ヤングマン,8,28,3,8,2,0,0,宇佐見,2018/07/01,中日,1,2018RS
S,マシソン,1,3,0,2,0,0,0,小林,2018/07/01,中日,0,2018RS
,鍬　原,6,25,4,7,4,2,2,大城,2018/07/03,横浜,1,2018RS
W,谷　岡,1,7,4,1,0,2,1,大城,2018/07/03,横浜,0,2018RS
,澤　村,0.2,5,1,0,2,1,1,大城,2018/07/03,横浜,0,2018RS
S,マシソン,1.1,4,0,4,0,0,0,大城,2018/07/03,横浜,0,2018RS
L,田　口,4.1,22,8,4,1,5,4,大城,2018/07/04,横浜,1,2018RS
,田　原,0.2,3,0,0,1,0,0,大城,2018/07/04,横浜,0,2018RS
,アダメス,2,10,1,0,4,0,0,大城,2018/07/04,横浜,0,2018RS
,上　原,1,3,0,1,1,0,0,大城,2018/07/04,横浜,0,2018RS
,澤　村,0.1,5,2,0,2,3,3,大城,2018/07/04,横浜,0,2018RS
,中　川,0.2,2,0,0,0,0,0,大城,2018/07/04,横浜,0,2018RS
L,山口俊,6,30,10,5,2,5,5,大城,2018/07/05,横浜,1,2018RS
,中　川,2,7,2,1,0,1,1,大城,2018/07/05,横浜,0,2018RS
,谷　岡,1,5,2,1,0,0,0,宇佐見,2018/07/05,横浜,0,2018RS
W,菅　野,8,31,6,11,1,0,0,大城,2018/07/06,広島,1,2018RS
,マシソン,1,3,0,1,0,0,0,小林,2018/07/06,広島,0,2018RS
L,内　海,6,26,5,1,4,2,2,大城,2018/07/07,広島,1,2018RS
,田　原,2,7,1,2,0,1,1,大城,2018/07/07,広島,0,2018RS
,中　川,0,2,2,0,0,2,2,大城,2018/07/07,広島,0,2018RS
,谷　岡,1,3,0,2,0,0,0,大城,2018/07/07,広島,0,2018RS
W,今　村,5,21,1,4,5,2,2,宇佐見,2018/07/08,広島,1,2018RS
,谷　岡,1,3,0,1,0,0,0,宇佐見,2018/07/08,広島,0,2018RS
,上　原,1,5,1,1,1,0,0,宇佐見,2018/07/08,広島,0,2018RS
,澤　村,1,5,1,2,1,0,0,宇佐見,2018/07/08,広島,0,2018RS
,マシソン,1,8,2,2,3,2,2,小林,2018/07/08,広島,0,2018RS
W,ヤングマン,6,27,8,2,4,2,2,宇佐見,2018/07/09,ヤクルト,1,2018RS
,上　原,1,5,2,2,0,1,1,小林,2018/07/09,ヤクルト,0,2018RS
,アダメス,1,4,1,0,0,0,0,小林,2018/07/09,ヤクルト,0,2018RS
,谷　岡,0.2,6,3,0,1,2,2,小林,2018/07/09,ヤクルト,0,2018RS
S,マシソン,0.1,1,0,0,0,0,0,小林,2018/07/09,ヤクルト,0,2018RS
W,メルセデス,5,19,5,2,0,0,0,宇佐見,2018/07/10,ヤクルト,1,2018RS
,鍬　原,2,10,4,0,1,2,2,宇佐見,2018/07/10,ヤクルト,0,2018RS
,澤　村,1,7,3,3,1,1,1,宇佐見,2018/07/10,ヤクルト,0,2018RS
S,マシソン,1,3,0,2,0,0,0,小林,2018/07/10,ヤクルト,0,2018RS
W,山口俊,6,29,8,5,3,3,3,宇佐見,2018/07/11,ヤクルト,1,2018RS
,田　原,1,5,2,0,0,0,0,宇佐見,2018/07/11,ヤクルト,0,2018RS
,上　原,1,4,2,0,0,0,0,宇佐見,2018/07/11,ヤクルト,0,2018RS
,マシソン,1,4,1,1,0,0,0,小林,2018/07/11,ヤクルト,0,2018RS
W,内　海,6,25,6,2,1,1,1,小林,2018/07/16,阪神,1,2018RS
,上　原,1,3,0,0,0,0,0,大城,2018/07/16,阪神,0,2018RS
,澤　村,1,7,3,2,1,2,2,小林,2018/07/16,阪神,0,2018RS
S,マシソン,1,3,0,1,0,0,0,小林,2018/07/16,阪神,0,2018RS
W,ヤングマン,7,26,4,10,1,2,2,宇佐見,2018/07/17,阪神,1,2018RS
,上　原,1,3,0,0,0,0,0,宇佐見,2018/07/17,阪神,0,2018RS
S,マシソン,1,6,1,2,2,0,0,小林,2018/07/17,阪神,0,2018RS
W,メルセデス,7,28,6,4,1,0,0,宇佐見,2018/07/18,阪神,1,2018RS
,野　上,1,4,0,0,1,0,0,小林,2018/07/18,阪神,0,2018RS
,谷　岡,0.2,6,3,1,1,3,3,小林,2018/07/18,阪神,0,2018RS
S,マシソン,0.1,1,0,0,0,0,0,小林,2018/07/18,阪神,0,2018RS
,山口俊,2,15,5,3,3,7,7,宇佐見,2018/07/20,広島,1,2018RS
,吉川光,4,18,3,3,2,1,1,宇佐見,2018/07/20,広島,0,2018RS
,上　原,1,4,1,0,0,0,0,宇佐見,2018/07/20,広島,0,2018RS
,澤　村,2,8,0,2,3,0,0,宇佐見,2018/07/20,広島,0,2018RS
L,マシソン,0.2,4,1,1,1,2,2,小林,2018/07/20,広島,0,2018RS
L,菅　野,5,27,11,3,1,6,6,大城,2018/07/21,広島,1,2018RS
,野　上,2,6,0,3,0,0,0,大城,2018/07/21,広島,0,2018RS
,田　原,1,5,1,0,1,1,1,大城,2018/07/21,広島,0,2018RS
,今　村,4.1,21,3,3,3,5,4,大城,2018/07/22,広島,1,2018RS
,野　上,1.2,6,1,1,0,1,1,大城,2018/07/22,広島,0,2018RS
L,上　原,1,6,2,1,1,2,2,大城,2018/07/22,広島,0,2018RS
,吉川光,1,3,0,0,0,0,0,小林,2018/07/22,広島,0,2018RS
L,内　海,5,24,10,2,1,3,3,大城,2018/07/24,ヤクルト,1,2018RS
,野　上,2,8,2,0,1,1,1,大城,2018/07/24,ヤクルト,0,2018RS
,吉川光,1,5,3,0,0,1,1,大城,2018/07/24,ヤクルト,0,2018RS
,中　川,0.2,5,1,1,2,0,0,大城,2018/07/24,ヤクルト,0,2018RS
,田　原,0.1,1,0,1,0,0,0,大城,2018/07/24,ヤクルト,0,2018RS
L,ヤングマン,5,26,10,5,2,5,4,宇佐見,2018/07/25,ヤクルト,1,2018RS
,吉川光,2,11,3,3,1,1,1,宇佐見,2018/07/25,ヤクルト,0,2018RS
,澤　村,1,3,0,1,0,0,0,大城,2018/07/25,ヤクルト,0,2018RS
,中　川,1,3,0,1,0,0,0,大城,2018/07/25,ヤクルト,0,2018RS
