wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,田村 伊知郎,1,12,3,0,0,0,0,0,0,0,0,古賀悠,2025/06/07,広島,0,2025RS
L,武内 夏暉,4.1,89,23,9,2,3,1,0,0,7,6,古賀悠,2025/06/08,広島,1,2025RS
,E.ラミレス,0.2,17,5,3,0,2,0,0,0,0,0,古賀悠,2025/06/08,広島,0,2025RS
,佐藤 隼輔,1,25,6,3,0,1,0,0,0,2,2,古賀悠,2025/06/08,広島,0,2025RS
,佐藤 隼輔,1,13,4,0,0,2,0,0,0,0,0,牧野,2025/06/08,広島,0,2025RS
,田村 伊知郎,1,18,4,1,1,3,0,0,0,1,1,牧野,2025/06/08,広島,0,2025RS
,隅田 知一郎,7,119,30,7,0,5,3,0,0,2,2,古賀悠,2025/06/10,阪神,1,2025RS
W,E.ラミレス,1,13,4,1,0,1,0,0,0,0,0,古賀悠,2025/06/10,阪神,0,2025RS
S,平良 海馬,1,17,3,0,0,3,0,0,0,0,0,古賀悠,2025/06/10,阪神,0,2025RS
,渡邉 勇太朗,7,114,27,5,0,5,1,0,0,1,1,古賀悠,2025/06/11,阪神,1,2025RS
,佐々木 健,1,18,3,0,0,0,0,0,0,0,0,古賀悠,2025/06/11,阪神,0,2025RS
W,ウィンゲンター,1,10,4,1,1,2,0,0,0,1,1,炭谷,2025/06/11,阪神,0,2025RS
W,菅井 信也,5,81,20,3,1,4,3,0,0,1,1,牧野,2025/06/12,阪神,1,2025RS
H,甲斐野 央,1,7,4,1,0,0,0,0,0,0,0,古賀悠,2025/06/12,阪神,0,2025RS
H,ウィンゲンター,1,9,3,0,0,1,0,0,0,0,0,古賀悠,2025/06/12,阪神,0,2025RS
H,山田 陽翔,1,22,5,1,0,0,2,0,0,0,0,古賀悠,2025/06/12,阪神,0,2025RS
S,平良 海馬,1,13,4,1,0,1,0,0,0,0,0,古賀悠,2025/06/12,阪神,0,2025RS
,高橋 光成,7,104,28,7,0,5,1,0,0,1,1,炭谷,2025/06/13,中日,1,2025RS
,高橋 光成,1,11,3,0,0,1,0,0,0,0,0,古賀悠,2025/06/13,中日,0,2025RS
H,E.ラミレス,1,16,3,1,0,2,0,0,0,0,0,古賀悠,2025/06/13,中日,0,2025RS
L,佐々木 健,1,20,6,3,0,0,0,0,0,1,1,古賀悠,2025/06/13,中日,0,2025RS
W,與座 海人,6.1,84,24,4,1,4,0,0,0,1,1,牧野,2025/06/14,中日,1,2025RS
H,甲斐野 央,0.2,6,2,0,0,0,0,0,0,0,0,牧野,2025/06/14,中日,0,2025RS
H,ウィンゲンター,1,19,5,0,0,2,2,0,0,0,0,牧野,2025/06/14,中日,0,2025RS
S,平良 海馬,1,13,4,1,0,0,0,0,0,0,0,牧野,2025/06/14,中日,0,2025RS
W,武内 夏暉,6,95,23,4,0,1,2,0,0,0,0,炭谷,2025/06/15,中日,1,2025RS
H,E.ラミレス,1,9,3,0,0,2,0,0,0,0,0,炭谷,2025/06/15,中日,0,2025RS
H,甲斐野 央,1,19,4,0,0,0,1,0,0,0,0,古賀悠,2025/06/15,中日,0,2025RS
S,平良 海馬,1,11,3,0,0,0,0,0,0,0,0,古賀悠,2025/06/15,中日,0,2025RS
W,今井 達也,9,123,28,2,0,17,0,0,0,0,0,古賀悠,2025/06/17,DeNA,1,2025RS
L,隅田 知一郎,5,70,25,7,0,6,1,1,0,3,3,古賀悠,2025/06/18,DeNA,1,2025RS
,佐々木 健,1,9,3,0,0,1,0,0,0,0,0,古賀悠,2025/06/18,DeNA,0,2025RS
,田村 伊知郎,2,40,8,1,0,1,0,0,0,1,0,古賀悠,2025/06/18,DeNA,0,2025RS
